DATA,PM10,co,no2,Coletor
01/01/1997,36841,17133,42535,Carlos F.
02/01/1997,33634,16083,5702,Magno Filho
03/01/1997,35319,18983,61838,Patrícia M.
04/01/1997,29742,1675,7851,Carlos F.
05/01/1997,43343,2012,82008,Carlos F.
06/01/1997,43787,2458,13551,Patrícia M.
07/01/1997,51858,3228,159426,Patrícia M.
08/01/1997,53457,3966,1829,Patrícia M.
09/01/1997,41771,37217,131714,Magno Filho
10/01/1997,54352,45267,113142,Magno Filho
11/01/1997,33294,37667,82892,Magno Filho
12/01/1997,35838,34433,76064,Magno Filho
13/01/1997,39794,39433,95604,Magno Filho
14/01/1997,53626,3825,118452,Magno Filho
15/01/1997,54672,37017,155678,Magno Filho
16/01/1997,43894,40917,13131,Patrícia M.
17/01/1997,36534,24117,68772,Patrícia M.
18/01/1997,39015,179,77402,Patrícia M.
19/01/1997,31412,20183,63394,Patrícia M.
20/01/1997,3982,31567,98624,Patrícia M.
21/01/1997,43209,3378,129275,Patrícia M.
22/01/1997,43247,394,106215,Patrícia M.
23/01/1997,40885,3308,9833,Carlos F.
24/01/1997,42229,35017,94417,Carlos F.
25/01/1997,34797,3095,79656,Carlos F.
26/01/1997,3097,25386,718,Carlos F.
27/01/1997,42828,38629,94386,Carlos F.
28/01/1997,469,35483,85477,Carlos F.
29/01/1997,56243,40517,92612,Carlos F.
30/01/1997,58775,414,110463,Carlos F.
31/01/1997,40902,2862,100272,Carlos F.
01/02/1997,31632,255,55557,Carlos F.
02/02/1997,28422,23075,57865,Carlos F.
03/02/1997,42492,26433,135895,Carlos F.
04/02/1997,61359,331,19148,Patrícia M.
05/02/1997,68107,29533,12524,Patrícia M.
06/02/1997,73784,32,12079,Patrícia M.
07/02/1997,7942,27943,15818,Patrícia M.
08/02/1997,64553,19514,7722,Patrícia M.
09/02/1997,48675,20757,104628,Patrícia M.
10/02/1997,58014,25943,13539,Patrícia M.
11/02/1997,70038,403,1104,Patrícia M.
12/02/1997,69538,25786,154863,Magno Filho
13/02/1997,58008,30929,147322,Magno Filho
14/02/1997,54687,393,149183,Magno Filho
15/02/1997,45952,422,12559,Magno Filho
16/02/1997,30475,26829,8427,Magno Filho
17/02/1997,39598,329,133053,Patrícia M.
18/02/1997,4173,34757,103455,Carlos F.
19/02/1997,4833,41557,108263,Patrícia M.
20/02/1997,4582,405,10014,Carlos F.
21/02/1997,44978,32343,93347,Patrícia M.
22/02/1997,55549,26186,104447,Carlos F.
23/02/1997,55658,31386,148137,Patrícia M.
24/02/1997,50612,265,82594,Magno Filho
25/02/1997,53903,285,181972,Magno Filho
26/02/1997,58552,24571,14986,Magno Filho
27/02/1997,48406,2615,122942,Magno Filho
28/02/1997,39661,246,72154,Magno Filho
01/03/1997,36589,17571,58236,Carlos F.
02/03/1997,37515,15471,6445,Carlos F.
03/03/1997,49673,33586,147982,Carlos F.
04/03/1997,50577,303,15513,Carlos F.
05/03/1997,52924,33814,128432,Carlos F.
06/03/1997,55336,35267,12573,Carlos F.
07/03/1997,61199,39233,15069,Carlos F.
08/03/1997,55063,279,145354,Carlos F.
09/03/1997,51705,20717,83278,Carlos F.
10/03/1997,49882,28267,12046,Carlos F.
11/03/1997,68641,28643,146688,Carlos F.
12/03/1997,78967,42757,160618,Carlos F.
13/03/1997,84008,38586,18634,Carlos F.
14/03/1997,67739,29729,14688,Carlos F.
15/03/1997,48783,27171,102892,Patrícia M.
16/03/1997,37093,23,66512,Patrícia M.
17/03/1997,3588,19714,75402,Patrícia M.
18/03/1997,409,21371,82072,Patrícia M.
19/03/1997,4906,23871,109056,Patrícia M.
20/03/1997,59907,26443,1246,Patrícia M.
21/03/1997,57016,25114,139396,Patrícia M.
22/03/1997,48166,21129,81494,Patrícia M.
23/03/1997,56917,21543,96248,Patrícia M.
24/03/1997,77742,36543,19716,Patrícia M.
25/03/1997,5194,21371,81957,Patrícia M.
26/03/1997,45997,22683,78788,Patrícia M.
27/03/1997,48741,19171,82485,Patrícia M.
28/03/1997,3983,16057,46018,Patrícia M.
29/03/1997,39619,11414,5498,Patrícia M.
30/03/1997,4809,17071,70512,Patrícia M.
31/03/1997,52972,3115,11522,Magno Filho
01/04/1997,5486,43243,90482,Magno Filho
02/04/1997,52235,448,97822,Magno Filho
03/04/1997,4697,43686,97337,Magno Filho
04/04/1997,53791,45029,99312,Magno Filho
05/04/1997,4884,291,74557,Magno Filho
06/04/1997,45581,16986,57778,Magno Filho
07/04/1997,44422,22283,94262,Magno Filho
08/04/1997,38735,22871,79665,Magno Filho
09/04/1997,38478,21829,8216,Magno Filho
10/04/1997,52687,24857,111645,Magno Filho
11/04/1997,81087,40671,17979,Magno Filho
12/04/1997,83678,51757,117707,Magno Filho
13/04/1997,65324,25729,108835,Magno Filho
14/04/1997,87096,40186,223333,Magno Filho
15/04/1997,83186,32657,150702,Magno Filho
16/04/1997,92515,34371,167842,Patrícia M.
17/04/1997,64572,49329,109698,Carlos F.
18/04/1997,5598,46571,108538,Patrícia M.
19/04/1997,50361,40743,104892,Patrícia M.
20/04/1997,34508,40457,55325,Patrícia M.
21/04/1997,25518,24914,5747,Patrícia M.
22/04/1997,43587,25914,111522,Patrícia M.
23/04/1997,43611,27029,96774,Patrícia M.
24/04/1997,66258,33229,164328,Patrícia M.
25/04/1997,86661,5424,127406,Patrícia M.
26/04/1997,54765,35767,98228,Patrícia M.
27/04/1997,56449,176,88054,Patrícia M.
28/04/1997,59217,43857,112895,Patrícia M.
29/04/1997,80285,43286,13722,Patrícia M.
30/04/1997,9472,44614,192033,Patrícia M.
01/05/1997,77622,40286,123455,Carlos F.
02/05/1997,991,43114,17157,Carlos F.
03/05/1997,94352,392,207488,Carlos F.
04/05/1997,47819,17433,57428,Carlos F.
05/05/1997,49204,27117,105893,Carlos F.
06/05/1997,67932,28067,125838,Carlos F.
07/05/1997,75645,29,12389,Carlos F.
08/05/1997,82638,30843,141288,Carlos F.
09/05/1997,86515,34214,184342,Carlos F.
10/05/1997,66237,22686,103685,Carlos F.
11/05/1997,61252,19386,80573,Carlos F.
12/05/1997,83833,43729,169797,Carlos F.
13/05/1997,86794,45257,95358,Carlos F.
14/05/1997,52832,21371,79578,Carlos F.
15/05/1997,58889,256,91068,Carlos F.
16/05/1997,75808,314,12059,Patrícia M.
17/05/1997,72283,282,100143,Patrícia M.
18/05/1997,68508,2555,86822,Patrícia M.
19/05/1997,89022,5625,142265,Patrícia M.
20/05/1997,97534,56671,17361,Patrícia M.
21/05/1997,83655,499,128422,Patrícia M.
22/05/1997,57398,47571,85513,Patrícia M.
23/05/1997,46015,30914,75623,Patrícia M.
24/05/1997,40832,25657,6965,Patrícia M.
25/05/1997,27584,21643,63648,Patrícia M.
26/05/1997,57061,31643,126513,Patrícia M.
27/05/1997,62071,408,123163,Patrícia M.
28/05/1997,56925,463,93358,Patrícia M.
29/05/1997,26068,35357,50398,Patrícia M.
30/05/1997,30139,22417,76015,Patrícia M.
31/05/1997,40348,17414,65315,Magno Filho
01/06/1997,36697,18214,63245,José Silveira
02/06/1997,55647,29333,10894,Patrícia M.
03/06/1997,94481,47367,263738,Magno Filho
04/06/1997,76791,45633,99026,Magno Filho
05/06/1997,50119,53017,116136,Magno Filho
06/06/1997,49438,38733,83924,Magno Filho
07/06/1997,40001,34433,73198,Magno Filho
08/06/1997,39089,26183,65806,Magno Filho
09/06/1997,70492,32767,1651,Magno Filho
10/06/1997,93601,50533,197754,Magno Filho
11/06/1997,10032,59029,198013,Magno Filho
12/06/1997,62301,59,9864,Magno Filho
13/06/1997,98207,69129,233888,Magno Filho
